"index" "risk" "risk_base" "risk_percent_diff" "risk_percent_point_diff" "risk_relative"
"30femalepostgraduate01000" 0.3 0.2 50 0.1 1.5
"30femalepostgraduate01001" 0.4 0.2 100 0.2 2
"30femalepostgraduate01010" 0.6 0.2 200 0.4 3
"30femalepostgraduate01011" 0.9 0.2 350 0.7 4.5
"30femalepostgraduate01100" 1.6 0.2 700 1.4 8
"30femalepostgraduate01101" 2.4 0.2 1100 2.2 12
"30femalepostgraduate01110" 3.3 0.2 1550 3.1 16.5
"30femalepostgraduate01111" 5 0.2 2400 4.8 25
"30femalepostgraduate10000" 0.4 0.2 100 0.2 2
"30femalepostgraduate10001" 0.4 0.2 100 0.2 2
"30femalepostgraduate10010" 0.8 0.2 300 0.6 4
"30femalepostgraduate10011" 0.9 0.2 350 0.7 4.5
"30femalepostgraduate10100" 1.8 0.2 800 1.6 9
"30femalepostgraduate10101" 2.2 0.2 1000 2 11
"30femalepostgraduate10110" 3.8 0.2 1800 3.6 19
"30femalepostgraduate10111" 4.6 0.2 2200 4.4 23
"30femalepostgraduate11000" 0.6 0.2 200 0.4 3
"30femalepostgraduate11001" 0.7 0.2 250 0.5 3.5
"30femalepostgraduate11010" 1.3 0.2 550 1.1 6.5
"30femalepostgraduate11011" 1.5 0.2 650 1.3 7.5
"30femalepostgraduate11100" 3 0.2 1400 2.8 15
"30femalepostgraduate11101" 3.6 0.2 1700 3.4 18
"30femalepostgraduate11110" 6.1 0.2 2950 5.9 30.5
"30femalepostgraduate11111" 7.5 0.2 3650 7.3 37.5
"30femalesecondary00000" 0.2 0.2 0 0 1
"30femalesecondary00001" 0.4 0.2 100 0.2 2
"30femalesecondary00010" 0.5 0.2 150 0.3 2.5
"30femalesecondary00011" 0.7 0.2 250 0.5 3.5
"30femalesecondary00100" 1.4 0.2 600 1.2 7
"30femalesecondary00101" 2.1 0.2 950 1.9 10.5
"30femalesecondary00110" 2.9 0.2 1350 2.7 14.5
"30femalesecondary00111" 4.3 0.2 2050 4.1 21.5
"30femalesecondary01000" 0.4 0.2 100 0.2 2
"30femalesecondary01001" 0.6 0.2 200 0.4 3
"30femalesecondary01010" 0.8 0.2 300 0.6 4
"30femalesecondary01011" 1.2 0.2 500 1 6
"30femalesecondary01100" 2.3 0.2 1050 2.1 11.5
"30femalesecondary01101" 3.4 0.2 1600 3.2 17
"30femalesecondary01110" 4.7 0.2 2250 4.5 23.5
"30femalesecondary01111" 7 0.2 3400 6.8 35
"30femalesecondary10000" 0.5 0.2 150 0.3 2.5
"30femalesecondary10001" 0.6 0.2 200 0.4 3
"30femalesecondary10010" 1.1 0.2 450 0.9 5.5
"30femalesecondary10011" 1.3 0.2 550 1.1 6.5
"30femalesecondary10100" 2.6 0.2 1200 2.4 13
"30femalesecondary10101" 3.2 0.2 1500 3 16
"30femalesecondary10110" 5.3 0.2 2550 5.1 26.5
"30femalesecondary10111" 6.5 0.2 3150 6.3 32.5
"30femalesecondary11000" 0.9 0.2 350 0.7 4.5
"30femalesecondary11001" 1.1 0.2 450 0.9 5.5
"30femalesecondary11010" 1.8 0.2 800 1.6 9
"30femalesecondary11011" 2.2 0.2 1000 2 11
"30femalesecondary11100" 4.2 0.2 2000 4 21
"30femalesecondary11101" 5.2 0.2 2500 5 26
"30femalesecondary11110" 8.6 0.2 4200 8.4 43
"30femalesecondary11111" 10.5 0.2 5150 10.3 52.5
"30femaletertiary00000" 0.2 0.2 0 0 1
"30femaletertiary00001" 0.3 0.2 50 0.1 1.5
"30femaletertiary00010" 0.4 0.2 100 0.2 2
"30femaletertiary00011" 0.6 0.2 200 0.4 3
"30femaletertiary00100" 1.1 0.2 450 0.9 5.5
"30femaletertiary00101" 1.7 0.2 750 1.5 8.5
"30femaletertiary00110" 2.4 0.2 1100 2.2 12
"30femaletertiary00111" 3.6 0.2 1700 3.4 18
"30femaletertiary01000" 0.3 0.2 50 0.1 1.5
"30femaletertiary01001" 0.5 0.2 150 0.3 2.5
"30femaletertiary01010" 0.7 0.2 250 0.5 3.5
"30femaletertiary01011" 1 0.2 400 0.8 5
"30femaletertiary01100" 1.9 0.2 850 1.7 9.5
"30femaletertiary01101" 2.8 0.2 1300 2.6 14
"30femaletertiary01110" 3.9 0.2 1850 3.7 19.5
"30femaletertiary01111" 5.8 0.2 2800 5.6 29
"30femaletertiary10000" 0.4 0.2 100 0.2 2
"30femaletertiary10001" 0.5 0.2 150 0.3 2.5
"30femaletertiary10010" 0.9 0.2 350 0.7 4.5
"30femaletertiary10011" 1.1 0.2 450 0.9 5.5
"30femaletertiary10100" 2.1 0.2 950 1.9 10.5
"30femaletertiary10101" 2.6 0.2 1200 2.4 13
"30femaletertiary10110" 4.4 0.2 2100 4.2 22
"30femaletertiary10111" 5.4 0.2 2600 5.2 27
"30femaletertiary11000" 0.7 0.2 250 0.5 3.5
"30femaletertiary11001" 0.9 0.2 350 0.7 4.5
"30femaletertiary11010" 1.5 0.2 650 1.3 7.5
"30femaletertiary11011" 1.8 0.2 800 1.6 9
"30femaletertiary11100" 3.5 0.2 1650 3.3 17.5
"30femaletertiary11101" 4.3 0.2 2050 4.1 21.5
"30femaletertiary11110" 7.2 0.2 3500 7 36
"30femaletertiary11111" 8.8 0.2 4300 8.6 44
"30malebasic00000" 0.5 0.3 67 0.2 1.7
"30malebasic00001" 0.8 0.3 167 0.5 2.7
"30malebasic00010" 1.1 0.3 267 0.8 3.7
"30malebasic00011" 1.6 0.3 433 1.3 5.3
"30malebasic00100" 3 0.3 900 2.7 10
"30malebasic00101" 4.5 0.3 1400 4.2 15
"30malebasic00110" 6.2 0.3 1967 5.9 20.7
"30malebasic00111" 9.2 0.3 2967 8.9 30.7
"30malebasic01000" 0.9 0.3 200 0.6 3
"30malebasic01001" 1.3 0.3 333 1 4.3
"30malebasic01010" 1.8 0.3 500 1.5 6
"30malebasic01011" 2.7 0.3 800 2.4 9
"30malebasic01100" 4.9 0.3 1533 4.6 16.3
"30malebasic01101" 7.3 0.3 2333 7 24.3
"30malebasic01110" 10 0.3 3233 9.7 33.3
"30malebasic01111" 14.6 0.3 4767 14.3 48.7
"30malebasic10000" 1.1 0.3 267 0.8 3.7
"30malebasic10001" 1.4 0.3 367 1.1 4.7
"30malebasic10010" 2.3 0.3 667 2 7.7
"30malebasic10011" 2.9 0.3 867 2.6 9.7
"30malebasic10100" 5.5 0.3 1733 5.2 18.3
"30malebasic10101" 6.7 0.3 2133 6.4 22.3
"30malebasic10110" 11.2 0.3 3633 10.9 37.3
"30malebasic10111" 13.6 0.3 4433 13.3 45.3
"30malebasic11000" 1.9 0.3 533 1.6 6.3
"30malebasic11001" 2.3 0.3 667 2 7.7
"30malebasic11010" 3.8 0.3 1167 3.5 12.7
"30malebasic11011" 4.7 0.3 1467 4.4 15.7
"30malebasic11100" 8.8 0.3 2833 8.5 29.3
"30malebasic11101" 10.8 0.3 3500 10.5 36
"30malebasic11110" 17.6 0.3 5767 17.3 58.7
"30malebasic11111" 21.2 0.3 6967 20.9 70.7
"30malepostgraduate00000" 0.3 0.3 0 0 1
"30malepostgraduate00001" 0.5 0.3 67 0.2 1.7
"30malepostgraduate00010" 0.6 0.3 100 0.3 2
"30malepostgraduate00011" 1 0.3 233 0.7 3.3
"30malepostgraduate00100" 1.8 0.3 500 1.5 6
"30malepostgraduate00101" 2.7 0.3 800 2.4 9
"30malepostgraduate00110" 3.7 0.3 1133 3.4 12.3
"30malepostgraduate00111" 5.5 0.3 1733 5.2 18.3
"30malepostgraduate01000" 0.5 0.3 67 0.2 1.7
"30malepostgraduate01001" 0.8 0.3 167 0.5 2.7
"30malepostgraduate01010" 1.1 0.3 267 0.8 3.7
"30malepostgraduate01011" 1.6 0.3 433 1.3 5.3
"30malepostgraduate01100" 2.9 0.3 867 2.6 9.7
"30malepostgraduate01101" 4.4 0.3 1367 4.1 14.7
"30malepostgraduate01110" 6 0.3 1900 5.7 20
"30malepostgraduate01111" 8.9 0.3 2867 8.6 29.7
"30malepostgraduate10000" 0.7 0.3 133 0.4 2.3
"30malepostgraduate10001" 0.8 0.3 167 0.5 2.7
"30malepostgraduate10010" 1.4 0.3 367 1.1 4.7
"30malepostgraduate10011" 1.7 0.3 467 1.4 5.7
"30malepostgraduate10100" 3.3 0.3 1000 3 11
"30malepostgraduate10101" 4 0.3 1233 3.7 13.3
"30malepostgraduate10110" 6.8 0.3 2167 6.5 22.7
"30malepostgraduate10111" 8.3 0.3 2667 8 27.7
"30malepostgraduate11000" 1.1 0.3 267 0.8 3.7
"30malepostgraduate11001" 1.3 0.3 333 1 4.3
"30malepostgraduate11010" 2.3 0.3 667 2 7.7
"30malepostgraduate11011" 2.8 0.3 833 2.5 9.3
"30malepostgraduate11100" 5.3 0.3 1667 5 17.7
"30malepostgraduate11101" 6.6 0.3 2100 6.3 22
"30malepostgraduate11110" 10.9 0.3 3533 10.6 36.3
"30malepostgraduate11111" 13.2 0.3 4300 12.9 44
"30malesecondary00000" 0.4 0.3 33 0.1 1.3
"30malesecondary00001" 0.7 0.3 133 0.4 2.3
"30malesecondary00010" 0.9 0.3 200 0.6 3
"30malesecondary00011" 1.4 0.3 367 1.1 4.7
"30malesecondary00100" 2.5 0.3 733 2.2 8.3
"30malesecondary00101" 3.8 0.3 1167 3.5 12.7
"30malesecondary00110" 5.3 0.3 1667 5 17.7
"30malesecondary00111" 7.8 0.3 2500 7.5 26
"30malesecondary01000" 0.7 0.3 133 0.4 2.3
"30malesecondary01001" 1.1 0.3 267 0.8 3.7
"30malesecondary01010" 1.5 0.3 400 1.2 5
"30malesecondary01011" 2.3 0.3 667 2 7.7
"30malesecondary01100" 4.2 0.3 1300 3.9 14
"30malesecondary01101" 6.2 0.3 1967 5.9 20.7
"30malesecondary01110" 8.5 0.3 2733 8.2 28.3
"30malesecondary01111" 12.5 0.3 4067 12.2 41.7
"30malesecondary10000" 0.9 0.3 200 0.6 3
"30malesecondary10001" 1.2 0.3 300 0.9 4
"30malesecondary10010" 2 0.3 567 1.7 6.7
"30malesecondary10011" 2.4 0.3 700 2.1 8
"30malesecondary10100" 4.7 0.3 1467 4.4 15.7
"30malesecondary10101" 5.7 0.3 1800 5.4 19
"30malesecondary10110" 9.5 0.3 3067 9.2 31.7
"30malesecondary10111" 11.6 0.3 3767 11.3 38.7
"30malesecondary11000" 1.6 0.3 433 1.3 5.3
"30malesecondary11001" 1.9 0.3 533 1.6 6.3
"30malesecondary11010" 3.3 0.3 1000 3 11
"30malesecondary11011" 4 0.3 1233 3.7 13.3
"30malesecondary11100" 7.5 0.3 2400 7.2 25
"30malesecondary11101" 9.2 0.3 2967 8.9 30.7
"30malesecondary11110" 15.1 0.3 4933 14.8 50.3
"30malesecondary11111" 18.3 0.3 6000 18 61
"30maletertiary00000" 0.4 0.3 33 0.1 1.3
"30maletertiary00001" 0.5 0.3 67 0.2 1.7
"30maletertiary00010" 0.8 0.3 167 0.5 2.7
"30maletertiary00011" 1.1 0.3 267 0.8 3.7
"30maletertiary00100" 2.1 0.3 600 1.8 7
"30maletertiary00101" 3.1 0.3 933 2.8 10.3
"30maletertiary00110" 4.3 0.3 1333 4 14.3
"30maletertiary00111" 6.5 0.3 2067 6.2 21.7
"30maletertiary01000" 0.6 0.3 100 0.3 2
"30maletertiary01001" 0.9 0.3 200 0.6 3
"30maletertiary01010" 1.2 0.3 300 0.9 4
"30maletertiary01011" 1.9 0.3 533 1.6 6.3
"30maletertiary01100" 3.4 0.3 1033 3.1 11.3
"30maletertiary01101" 5.1 0.3 1600 4.8 17
"30maletertiary01110" 7.1 0.3 2267 6.8 23.7
"30maletertiary01111" 10.4 0.3 3367 10.1 34.7
"30maletertiary10000" 0.8 0.3 167 0.5 2.7
"30maletertiary10001" 1 0.3 233 0.7 3.3
"30maletertiary10010" 1.6 0.3 433 1.3 5.3
"30maletertiary10011" 2 0.3 567 1.7 6.7
"30maletertiary10100" 3.9 0.3 1200 3.6 13
"30maletertiary10101" 4.8 0.3 1500 4.5 16
"30maletertiary10110" 7.9 0.3 2533 7.6 26.3
"30maletertiary10111" 9.7 0.3 3133 9.4 32.3
"30maletertiary11000" 1.3 0.3 333 1 4.3
"30maletertiary11001" 1.6 0.3 433 1.3 5.3
"30maletertiary11010" 2.7 0.3 800 2.4 9
"30maletertiary11011" 3.3 0.3 1000 3 11
"30maletertiary11100" 6.3 0.3 2000 6 21
"30maletertiary11101" 7.7 0.3 2467 7.4 25.7
"30maletertiary11110" 12.7 0.3 4133 12.4 42.3
"30maletertiary11111" 15.4 0.3 5033 15.1 51.3
"31femalebasic00000" 0.3 0.2 50 0.1 1.5
"31femalebasic00001" 0.5 0.2 150 0.3 2.5
"31femalebasic00010" 0.6 0.2 200 0.4 3
"31femalebasic00011" 0.9 0.2 350 0.7 4.5
"31femalebasic00100" 1.7 0.2 750 1.5 8.5
"31femalebasic00101" 2.5 0.2 1150 2.3 12.5
"31femalebasic00110" 3.4 0.2 1600 3.2 17
"31femalebasic00111" 5 0.2 2400 4.8 25
"31femalebasic01000" 0.5 0.2 150 0.3 2.5
"31femalebasic01001" 0.8 0.2 300 0.6 4
"31femalebasic01010" 1 0.2 400 0.8 5
"31femalebasic01011" 1.6 0.2 700 1.4 8
"31femalebasic01100" 2.8 0.2 1300 2.6 14
"31femalebasic01101" 4.1 0.2 1950 3.9 20.5
"31femalebasic01110" 5.5 0.2 2650 5.3 27.5
"31femalebasic01111" 8.2 0.2 4000 8 41
"31femalebasic10000" 0.7 0.2 250 0.5 3.5
"31femalebasic10001" 0.8 0.2 300 0.6 4
"31femalebasic10010" 1.3 0.2 550 1.1 6.5
"31femalebasic10011" 1.7 0.2 750 1.5 8.5
"31femalebasic10100" 3.1 0.2 1450 2.9 15.5
"31femalebasic10101" 3.8 0.2 1800 3.6 19
"31femalebasic10110" 6.1 0.2 2950 5.9 30.5
"31femalebasic10111" 7.5 0.2 3650 7.3 37.5
"31femalebasic11000" 1.1 0.2 450 0.9 5.5
"31femalebasic11001" 1.4 0.2 600 1.2 7
"31femalebasic11010" 2.2 0.2 1000 2 11
"31femalebasic11011" 2.7 0.2 1250 2.5 13.5
"31femalebasic11100" 5 0.2 2400 4.8 25
"31femalebasic11101" 6.2 0.2 3000 6 31
"31femalebasic11110" 9.9 0.2 4850 9.7 49.5
"31femalebasic11111" 12 0.2 5900 11.8 60
"31femalepostgraduate00000" 0.2 0.2 0 0 1
"31femalepostgraduate00001" 0.3 0.2 50 0.1 1.5
"31femalepostgraduate00010" 0.4 0.2 100 0.2 2
"31femalepostgraduate00011" 0.6 0.2 200 0.4 3
"31femalepostgraduate00100" 1 0.2 400 0.8 5
"31femalepostgraduate00101" 1.5 0.2 650 1.3 7.5
"31femalepostgraduate00110" 2 0.2 900 1.8 10
"31femalepostgraduate00111" 3 0.2 1400 2.8 15
"31femalepostgraduate01000" 0.3 0.2 50 0.1 1.5
"31femalepostgraduate01001" 0.5 0.2 150 0.3 2.5
"31femalepostgraduate01010" 0.6 0.2 200 0.4 3
"31femalepostgraduate01011" 0.9 0.2 350 0.7 4.5
"31femalepostgraduate01100" 1.6 0.2 700 1.4 8
"31femalepostgraduate01101" 2.5 0.2 1150 2.3 12.5
"31femalepostgraduate01110" 3.3 0.2 1550 3.1 16.5
"31femalepostgraduate01111" 4.9 0.2 2350 4.7 24.5
"31femalepostgraduate10000" 0.4 0.2 100 0.2 2
"31femalepostgraduate10001" 0.5 0.2 150 0.3 2.5
"31femalepostgraduate10010" 0.8 0.2 300 0.6 4
"31femalepostgraduate10011" 1 0.2 400 0.8 5
"31femalepostgraduate10100" 1.8 0.2 800 1.6 9
"31femalepostgraduate10101" 2.3 0.2 1050 2.1 11.5
"31femalepostgraduate10110" 3.7 0.2 1750 3.5 18.5
"31femalepostgraduate10111" 4.5 0.2 2150 4.3 22.5
"31femalepostgraduate11000" 0.7 0.2 250 0.5 3.5
"31femalepostgraduate11001" 0.8 0.2 300 0.6 4
"31femalepostgraduate11010" 1.3 0.2 550 1.1 6.5
"31femalepostgraduate11011" 1.6 0.2 700 1.4 8
"31femalepostgraduate11100" 3 0.2 1400 2.8 15
"31femalepostgraduate11101" 3.7 0.2 1750 3.5 18.5
"31femalepostgraduate11110" 6 0.2 2900 5.8 30
"31femalepostgraduate11111" 7.3 0.2 3550 7.1 36.5
"31femalesecondary00000" 0.3 0.2 50 0.1 1.5
"31femalesecondary00001" 0.4 0.2 100 0.2 2
"31femalesecondary00010" 0.5 0.2 150 0.3 2.5
"31femalesecondary00011" 0.8 0.2 300 0.6 4
"31femalesecondary00100" 1.4 0.2 600 1.2 7
"31femalesecondary00101" 2.1 0.2 950 1.9 10.5
"31femalesecondary00110" 2.9 0.2 1350 2.7 14.5
"31femalesecondary00111" 4.3 0.2 2050 4.1 21.5
"31femalesecondary01000" 0.4 0.2 100 0.2 2
"31femalesecondary01001" 0.7 0.2 250 0.5 3.5
"31femalesecondary01010" 0.9 0.2 350 0.7 4.5
"31femalesecondary01011" 1.3 0.2 550 1.1 6.5
"31femalesecondary01100" 2.3 0.2 1050 2.1 11.5
"31femalesecondary01101" 3.5 0.2 1650 3.3 17.5
"31femalesecondary01110" 4.7 0.2 2250 4.5 23.5
"31femalesecondary01111" 6.9 0.2 3350 6.7 34.5
"31femalesecondary10000" 0.6 0.2 200 0.4 3
"31femalesecondary10001" 0.7 0.2 250 0.5 3.5
"31femalesecondary10010" 1.1 0.2 450 0.9 5.5
"31femalesecondary10011" 1.4 0.2 600 1.2 7
"31femalesecondary10100" 2.6 0.2 1200 2.4 13
"31femalesecondary10101" 3.2 0.2 1500 3 16
"31femalesecondary10110" 5.2 0.2 2500 5 26
"31femalesecondary10111" 6.4 0.2 3100 6.2 32
"31femalesecondary11000" 0.9 0.2 350 0.7 4.5
"31femalesecondary11001" 1.2 0.2 500 1 6
"31femalesecondary11010" 1.9 0.2 850 1.7 9.5
"31femalesecondary11011" 2.3 0.2 1050 2.1 11.5
"31femalesecondary11100" 4.3 0.2 2050 4.1 21.5
"31femalesecondary11101" 5.2 0.2 2500 5 26
"31femalesecondary11110" 8.4 0.2 4100 8.2 42
"31femalesecondary11111" 10.3 0.2 5050 10.1 51.5
"31femaletertiary00000" 0.2 0.2 0 0 1
"31femaletertiary00001" 0.3 0.2 50 0.1 1.5
"31femaletertiary00010" 0.4 0.2 100 0.2 2
"31femaletertiary00011" 0.7 0.2 250 0.5 3.5
"31femaletertiary00100" 1.2 0.2 500 1 6
"31femaletertiary00101" 1.8 0.2 800 1.6 9
"31femaletertiary00110" 2.4 0.2 1100 2.2 12
"31femaletertiary00111" 3.5 0.2 1650 3.3 17.5
"31femaletertiary01000" 0.4 0.2 100 0.2 2
"31femaletertiary01001" 0.5 0.2 150 0.3 2.5
"31femaletertiary01010" 0.7 0.2 250 0.5 3.5
"31femaletertiary01011" 1.1 0.2 450 0.9 5.5
"31femaletertiary01100" 1.9 0.2 850 1.7 9.5
"31femaletertiary01101" 2.9 0.2 1350 2.7 14.5
"31femaletertiary01110" 3.9 0.2 1850 3.7 19.5
"31femaletertiary01111" 5.8 0.2 2800 5.6 29
"31femaletertiary10000" 0.5 0.2 150 0.3 2.5
"31femaletertiary10001" 0.6 0.2 200 0.4 3
"31femaletertiary10010" 0.9 0.2 350 0.7 4.5
"31femaletertiary10011" 1.2 0.2 500 1 6
"31femaletertiary10100" 2.2 0.2 1000 2 11
"31femaletertiary10101" 2.7 0.2 1250 2.5 13.5
"31femaletertiary10110" 4.3 0.2 2050 4.1 21.5
"31femaletertiary10111" 5.3 0.2 2550 5.1 26.5
"31femaletertiary11000" 0.8 0.2 300 0.6 4
"31femaletertiary11001" 1 0.2 400 0.8 5
"31femaletertiary11010" 1.5 0.2 650 1.3 7.5
"31femaletertiary11011" 1.9 0.2 850 1.7 9.5
"31femaletertiary11100" 3.5 0.2 1650 3.3 17.5
"31femaletertiary11101" 4.3 0.2 2050 4.1 21.5
"31femaletertiary11110" 7 0.2 3400 6.8 35
"31femaletertiary11111" 8.6 0.2 4200 8.4 43
"31malebasic00000" 0.6 0.3 100 0.3 2
"31malebasic00001" 0.9 0.3 200 0.6 3
"31malebasic00010" 1.1 0.3 267 0.8 3.7
"31malebasic00011" 1.7 0.3 467 1.4 5.7
"31malebasic00100" 3.1 0.3 933 2.8 10.3
"31malebasic00101" 4.6 0.3 1433 4.3 15.3
"31malebasic00110" 6.1 0.3 1933 5.8 20.3
"31malebasic00111" 9 0.3 2900 8.7 30
"31malebasic01000" 0.9 0.3 200 0.6 3
"31malebasic01001" 1.4 0.3 367 1.1 4.7
"31malebasic01010" 1.9 0.3 533 1.6 6.3
"31malebasic01011" 2.8 0.3 833 2.5 9.3
"31malebasic01100" 5 0.3 1567 4.7 16.7
"31malebasic01101" 7.4 0.3 2367 7.1 24.7
"31malebasic01110" 9.8 0.3 3167 9.5 32.7
"31malebasic01111" 14.4 0.3 4700 14.1 48
"31malebasic10000" 1.2 0.3 300 0.9 4
"31malebasic10001" 1.5 0.3 400 1.2 5
"31malebasic10010" 2.5 0.3 733 2.2 8.3
"31malebasic10011" 3 0.3 900 2.7 10
"31malebasic10100" 5.6 0.3 1767 5.3 18.7
"31malebasic10101" 6.8 0.3 2167 6.5 22.7
"31malebasic10110" 10.9 0.3 3533 10.6 36.3
"31malebasic10111" 13.3 0.3 4333 13 44.3
"31malebasic11000" 2 0.3 567 1.7 6.7
"31malebasic11001" 2.5 0.3 733 2.2 8.3
"31malebasic11010" 4 0.3 1233 3.7 13.3
"31malebasic11011" 4.9 0.3 1533 4.6 16.3
"31malebasic11100" 9 0.3 2900 8.7 30
"31malebasic11101" 10.9 0.3 3533 10.6 36.3
"31malebasic11110" 17.2 0.3 5633 16.9 57.3
"31malebasic11111" 20.7 0.3 6800 20.4 69
"31malepostgraduate00000" 0.3 0.3 0 0 1
"31malepostgraduate00001" 0.5 0.3 67 0.2 1.7
"31malepostgraduate00010" 0.7 0.3 133 0.4 2.3
"31malepostgraduate00011" 1 0.3 233 0.7 3.3
"31malepostgraduate00100" 1.8 0.3 500 1.5 6
"31malepostgraduate00101" 2.7 0.3 800 2.4 9
"31malepostgraduate00110" 3.6 0.3 1100 3.3 12
"31malepostgraduate00111" 5.4 0.3 1700 5.1 18
"31malepostgraduate01000" 0.6 0.3 100 0.3 2
"31malepostgraduate01001" 0.8 0.3 167 0.5 2.7
"31malepostgraduate01010" 1.1 0.3 267 0.8 3.7
"31malepostgraduate01011" 1.7 0.3 467 1.4 5.7
"31malepostgraduate01100" 3 0.3 900 2.7 10
"31malepostgraduate01101" 4.5 0.3 1400 4.2 15
"31malepostgraduate01110" 5.9 0.3 1867 5.6 19.7
"31malepostgraduate01111" 8.8 0.3 2833 8.5 29.3
"31malepostgraduate10000" 0.7 0.3 133 0.4 2.3
"31malepostgraduate10001" 0.9 0.3 200 0.6 3
"31malepostgraduate10010" 1.5 0.3 400 1.2 5
"31malepostgraduate10011" 1.8 0.3 500 1.5 6
"31malepostgraduate10100" 3.3 0.3 1000 3 11
"31malepostgraduate10101" 4.1 0.3 1267 3.8 13.7
"31malepostgraduate10110" 6.6 0.3 2100 6.3 22
"31malepostgraduate10111" 8.1 0.3 2600 7.8 27
"31malepostgraduate11000" 1.2 0.3 300 0.9 4
"31malepostgraduate11001" 1.5 0.3 400 1.2 5
"31malepostgraduate11010" 2.4 0.3 700 2.1 8
"31malepostgraduate11011" 2.9 0.3 867 2.6 9.7
"31malepostgraduate11100" 5.4 0.3 1700 5.1 18
"31malepostgraduate11101" 6.7 0.3 2133 6.4 22.3
"31malepostgraduate11110" 10.6 0.3 3433 10.3 35.3
"31malepostgraduate11111" 12.9 0.3 4200 12.6 43
"31malesecondary00000" 0.5 0.3 67 0.2 1.7
"31malesecondary00001" 0.7 0.3 133 0.4 2.3
"31malesecondary00010" 1 0.3 233 0.7 3.3
"31malesecondary00011" 1.5 0.3 400 1.2 5
"31malesecondary00100" 2.6 0.3 767 2.3 8.7
"31malesecondary00101" 3.9 0.3 1200 3.6 13
"31malesecondary00110" 5.2 0.3 1633 4.9 17.3
"31malesecondary00111" 7.7 0.3 2467 7.4 25.7
"31malesecondary01000" 0.8 0.3 167 0.5 2.7
"31malesecondary01001" 1.2 0.3 300 0.9 4
"31malesecondary01010" 1.6 0.3 433 1.3 5.3
"31malesecondary01011" 2.4 0.3 700 2.1 8
"31malesecondary01100" 4.3 0.3 1333 4 14.3
"31malesecondary01101" 6.3 0.3 2000 6 21
"31malesecondary01110" 8.4 0.3 2700 8.1 28
"31malesecondary01111" 12.3 0.3 4000 12 41
"31malesecondary10000" 1 0.3 233 0.7 3.3
"31malesecondary10001" 1.3 0.3 333 1 4.3
"31malesecondary10010" 2.1 0.3 600 1.8 7
"31malesecondary10011" 2.6 0.3 767 2.3 8.7
"31malesecondary10100" 4.7 0.3 1467 4.4 15.7
"31malesecondary10101" 5.8 0.3 1833 5.5 19.3
"31malesecondary10110" 9.3 0.3 3000 9 31
"31malesecondary10111" 11.4 0.3 3700 11.1 38
"31malesecondary11000" 1.7 0.3 467 1.4 5.7
"31malesecondary11001" 2.1 0.3 600 1.8 7
"31malesecondary11010" 3.4 0.3 1033 3.1 11.3
"31malesecondary11011" 4.2 0.3 1300 3.9 14
"31malesecondary11100" 7.6 0.3 2433 7.3 25.3
"31malesecondary11101" 9.3 0.3 3000 9 31
"31malesecondary11110" 14.8 0.3 4833 14.5 49.3
